taxon	min_age	max_age
amp-nck_-100BCE_1	2025.0	2075.0
nck_-100BCE_2	2025.0	2075.0
amp_-150BCE_2	2036.0	2090.0
pan_-150BCE_1	2050.0	2150.0
amp_-150BCE_5	2050.0	2150.0
amp_-200BCE_1	2090.0	2150.0
amp_-250BCE_1	2150.0	2200.0
hyd_-250BCE_1	2100.0	2250.0
amp_-300BCE_1	2200.0	2225.0
pel_-350BCE_8	2250.0	2350.0
ltr_-350BCE_1	2250.0	2350.0
hyd_-350BCE_4	2250.0	2350.0
bel_-350BCE_1	2200.0	2350.0
ltr_-400BCE_1	2325.0	2375.0
nck_-400BCE_1	2325.0	2375.0
pel_-400BCE_1	2325.0	2375.0
nck_-450BCE_7	2375.0	2425.0
stm_-450BCE_6	2375.0	2425.0
ltr_-450BCE_1	2350.0	2425.0
pel_-450BCE_5	2350.0	2425.0
pel_-450BCE_33	2375.0	2425.0
ltr_-500BCE_3	2400.0	2475.0
pan_-500BCE_4	2400.0	2475.0
bai_-500BCE_1	2425.0	2475.0
nck_-500BCE_5	2425.0	2475.0
hyd_-500BCE_1	2425.0	2475.0
stm_-500BCE_3	2400.0	2475.0
nck_-550BCE_7	2450.0	2500.0
nck_-550BCE_12	2450.0	2525.0
bel_-550BCE_18	2450.0	2525.0
stm_-550BCE_2	2450.0	2500.0
hyd_-550BCE_26	2450.0	2500.0
nik_-550BCE_4	2450.0	2500.0
sos-sol_-600BCE_1	2525.0	2575.0
ltr-nck-hyd_-600BCE_1	2500.0	2550.0
sol_-600BCE_1	2485.0	2525.0
hyd_-600BCE_2	2500.0	2550.0
nck-amp_-650BCE_1	2550.0	2650.0
nck_-700BCE_1	2575.0	2675.0
sos_-700BCE_2	2640.0	2660.0
amp_-750BCE_2	2650.0	2675.0
sos_-750BCE_1	2650.0	2700.0
bel_-750BCE_1	2675.0	2725.0
nck_-750BCE_1	2625.0	2750.0
bel_-750BCE_2	2651.0	2675.0
nck-shl_-800BCE_1	2650.0	2850.0
amp-bel-nck_-850BCE_1	2710.0	2800.0
bel_-900BCE_1	2825.0	2850.0
amp_-950BCE_1	2836.0	2865.0
nck_-1000BCE_1	2850.0	3000.0
nck_-1050BCE_1	2950.0	2980.0
nck_-1050BCE_2	2950.0	2980.0
