taxon	min_age	max_age
greek_amphora_iron_age_-1000BCE_152	2850	2990
greek_amphora_iron_age_-1000BCE_155	2850	2980
greek_amphora_iron_age_-1050BCE_277	2950	2980
greek_amphora_iron_age_-350BCE_142	2250	2350
greek_amphora_iron_age_-350BCE_143	2250	2350
greek_amphora_iron_age_-350BCE_146	2250	2350
greek_amphora_iron_age_-450BCE_26	2350	2437.5
greek_amphora_iron_age_-550BCE_4	2450	2500
greek_amphora_iron_age_-550BCE_6	2450	2500
greek_italiote_amphora_hellenistic_age_-300BCE_221	2125	2325
greek_italiote_amphora_iron_age_-400BCE_81	2250	2390
greek_italiote_amphora_iron_age_-400BCE_86	2250	2370
greek_italiote_amphora_iron_age_-400BCE_88	2250	2390
greek_italiote_amphora_iron_age_-400BCE_90	2250	2370
greek_italiote_amphora_iron_age_-450BCE_265	2350	2400
greek_italiote_loutrophoros_iron_age_-350BCE_291	2250	2350
greek_italiote_loutrophoros_iron_age_-400BCE_243	2250	2370
greek_italiote_loutrophoros_iron_age_-400BCE_244	2250	2370
greek_italiote_loutrophoros_iron_age_-400BCE_245	2250	2370
greek_italiote_loutrophoros_iron_age_-400BCE_246	2250	2370
greek_italiote_loutrophoros_iron_age_-400BCE_247	2250	2370
greek_italiote_pelike_hellenistic_age_-300BCE_258	2125	2325
greek_italiote_pelike_hellenistic_age_-350BCE_114	2220	2310
greek_italiote_pelike_iron_age_-350BCE_202	2250	2350
greek_italiote_pelike_iron_age_-350BCE_204	2250	2350
greek_italiote_pelike_iron_age_-350BCE_209	2250	2350
greek_italiote_pelike_iron_age_-400BCE_44	2250	2370
greek_loutrophoros_hellenistic_age_-150BCE_295	2050	2150
greek_loutrophoros_iron_age_-450BCE_158	2350	2400
greek_loutrophoros_iron_age_-450BCE_164	2375	2425
greek_loutrophoros_iron_age_-500BCE_211	2425	2475
greek_loutrophoros_iron_age_-500BCE_213	2400	2450
greek_loutrophoros_iron_age_-600BCE_288	2500	2550
greek_pelike_iron_age_-300BCE_293	2225	2275
greek_pelike_iron_age_-350BCE_74	2250	2350
greek_pelike_iron_age_-400BCE_137	2325	2375
greek_pelike_iron_age_-450BCE_32	2375	2425
greek_pelike_iron_age_-450BCE_37	2375	2425
greek_pelike_iron_age_-500BCE_57	2412.5	2462.5
