taxon	min_age	max_age
greek_amphora_iron_age_-550BCE_4	2450.0	2500.0
greek_amphora_iron_age_-550BCE_6	2450.0	2500.0
greek_amphora_iron_age_-500BCE_15	2417.0	2450.0
greek_amphora_iron_age_-450BCE_26	2350.0	2437.5
greek_pelike_iron_age_-450BCE_32	2375.0	2425.0
greek_pelike_iron_age_-450BCE_37	2375.0	2425.0
greek_pelike_iron_age_-450BCE_40	2350.0	2400.0
greek_italiote_pelike_iron_age_-400BCE_42	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_44	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_47	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_50	2250.0	2370.0
greek_pelike_iron_age_-500BCE_52	2425.0	2475.0
greek_pelike_iron_age_-500BCE_56	2425.0	2475.0
greek_pelike_iron_age_-500BCE_57	2412.5	2462.5
greek_pelike_iron_age_-350BCE_72	2250.0	2350.0
greek_pelike_iron_age_-350BCE_74	2250.0	2350.0
greek_pelike_iron_age_-350BCE_76	2250.0	2350.0
greek_italiote_amphora_iron_age_-400BCE_81	2250.0	2390.0
greek_italiote_amphora_iron_age_-400BCE_86	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_88	2250.0	2390.0
greek_italiote_amphora_iron_age_-400BCE_90	2250.0	2370.0
greek_italiote_pelike_hellenistic_age_-350BCE_111	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_112	2250.0	2300.0
greek_italiote_pelike_hellenistic_age_-350BCE_114	2220.0	2310.0
greek_pelike_iron_age_-400BCE_137	2325.0	2375.0
greek_pelike_iron_age_-400BCE_139	2325.0	2375.0
greek_amphora_iron_age_-350BCE_141	2250.0	2350.0
greek_amphora_iron_age_-350BCE_142	2250.0	2350.0
greek_amphora_iron_age_-350BCE_143	2250.0	2350.0
greek_amphora_iron_age_-350BCE_144	2250.0	2350.0
greek_amphora_iron_age_-350BCE_145	2250.0	2350.0
greek_amphora_iron_age_-350BCE_146	2250.0	2350.0
greek_amphora_iron_age_-1000BCE_152	2850.0	2990.0
greek_amphora_iron_age_-1000BCE_155	2850.0	2980.0
greek_loutrophoros_iron_age_-450BCE_156	2362.5	2412.5
greek_loutrophoros_iron_age_-450BCE_157	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_158	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_159	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_160	2375.0	2425.0
greek_loutrophoros_iron_age_-450BCE_161	2375.0	2425.0
greek_loutrophoros_iron_age_-450BCE_162	2362.5	2412.5
greek_loutrophoros_iron_age_-450BCE_163	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_164	2375.0	2425.0
greek_pelike_iron_age_-550BCE_188	2450.0	2500.0
greek_amphora_hellenistic_age_-150BCE_199	2050.0	2150.0
greek_italiote_pelike_iron_age_-350BCE_200	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_202	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_204	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_209	2250.0	2350.0
greek_loutrophoros_iron_age_-500BCE_210	2425.0	2475.0
greek_loutrophoros_iron_age_-500BCE_211	2425.0	2475.0
greek_loutrophoros_iron_age_-500BCE_212	2400.0	2450.0
greek_loutrophoros_iron_age_-500BCE_213	2400.0	2450.0
greek_italiote_amphora_hellenistic_age_-300BCE_221	2125.0	2325.0
greek_amphora_iron_age_-400BCE_230	2325.0	2375.0
greek_italiote_loutrophoros_iron_age_-400BCE_242	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_243	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_244	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_245	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_246	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_247	2250.0	2370.0
greek_italiote_pelike_hellenistic_age_-300BCE_256	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_257	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_258	2125.0	2325.0
greek_italiote_amphora_iron_age_-450BCE_265	2350.0	2400.0
greek_amphora_iron_age_-1050BCE_277	2950.0	2980.0
greek_loutrophoros_iron_age_-550BCE_282	2462.5	2512.5
greek_loutrophoros_iron_age_-550BCE_283	2450.0	2500.0
greek_loutrophoros_iron_age_-400BCE_284	2325.0	2375.0
greek_loutrophoros_iron_age_-400BCE_285	2325.0	2375.0
greek_loutrophoros_iron_age_-600BCE_287	2500.0	2550.0
greek_loutrophoros_iron_age_-600BCE_288	2500.0	2550.0
greek_italiote_loutrophoros_iron_age_-350BCE_291	2250.0	2350.0
greek_italiote_loutrophoros_iron_age_-250BCE_292	2150.0	2250.0
greek_pelike_iron_age_-300BCE_293	2225.0	2275.0
greek_loutrophoros_hellenistic_age_-150BCE_295	2050.0	2150.0
greek_loutrophoros_iron_age_-350BCE_296	2250.0	2350.0
