taxon	min_age	max_age
greek_amphora_iron_age_-550BCE_1	2450.0	2500.0
greek_amphora_iron_age_-550BCE_2	2475.0	2525.0
greek_amphora_iron_age_-550BCE_5	2450.0	2500.0
greek_amphora_iron_age_-550BCE_7	2450.0	2500.0
greek_amphora_iron_age_-550BCE_8	2450.0	2500.0
greek_amphora_iron_age_-500BCE_12	2400.0	2450.0
greek_amphora_iron_age_-500BCE_13	2400.0	2450.0
greek_amphora_iron_age_-500BCE_14	2425.0	2475.0
greek_amphora_iron_age_-500BCE_17	2425.0	2475.0
greek_amphora_iron_age_-500BCE_18	2425.0	2475.0
greek_amphora_iron_age_-500BCE_19	2425.0	2475.0
greek_amphora_iron_age_-450BCE_21	2375.0	2425.0
greek_amphora_iron_age_-450BCE_22	2375.0	2425.0
greek_amphora_iron_age_-450BCE_23	2375.0	2425.0
greek_amphora_iron_age_-450BCE_24	2375.0	2425.0
greek_amphora_iron_age_-450BCE_25	2375.0	2425.0
greek_amphora_iron_age_-450BCE_27	2375.0	2425.0
greek_amphora_iron_age_-450BCE_28	2375.0	2425.0
greek_amphora_iron_age_-450BCE_30	2375.0	2425.0
greek_italiote_pelike_iron_age_-400BCE_44	2250.0	2370.0
greek_amphora_iron_age_-800BCE_61	2650.0	2850.0
greek_amphora_iron_age_-800BCE_62	2650.0	2850.0
greek_amphora_iron_age_-800BCE_63	2650.0	2850.0
greek_amphora_iron_age_-800BCE_64	2650.0	2850.0
greek_amphora_iron_age_-800BCE_65	2687.5	2800.0
greek_amphora_iron_age_-800BCE_66	2650.0	2850.0
greek_amphora_iron_age_-800BCE_67	2650.0	2850.0
greek_amphora_iron_age_-800BCE_68	2650.0	2850.0
greek_amphora_iron_age_-800BCE_69	2650.0	2850.0
greek_amphora_iron_age_-800BCE_70	2650.0	2850.0
greek_pelike_iron_age_-350BCE_75	2250.0	2350.0
greek_italiote_amphora_iron_age_-400BCE_81	2250.0	2390.0
greek_italiote_amphora_iron_age_-400BCE_83	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_84	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_85	2325.0	2350.0
greek_italiote_amphora_iron_age_-400BCE_87	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_90	2250.0	2370.0
greek_amphora_iron_age_-600BCE_91	2500.0	2550.0
greek_amphora_iron_age_-600BCE_92	2512.5	2562.5
greek_amphora_iron_age_-600BCE_93	2500.0	2550.0
greek_amphora_iron_age_-600BCE_94	2500.0	2550.0
greek_amphora_iron_age_-600BCE_96	2525.0	2575.0
greek_italiote_amphora_iron_age_-350BCE_103	2273.0	2295.0
greek_italiote_amphora_iron_age_-350BCE_104	2260.0	2310.0
greek_italiote_amphora_iron_age_-350BCE_105	2250.0	2310.0
greek_italiote_amphora_iron_age_-350BCE_106	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_107	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_108	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_109	2270.0	2300.0
greek_italiote_amphora_iron_age_-350BCE_110	2250.0	2310.0
greek_amphora_iron_age_-750BCE_122	2650.0	2700.0
greek_amphora_iron_age_-750BCE_125	2670.0	2680.0
greek_amphora_iron_age_-750BCE_126	2662.5	2700.0
greek_amphora_iron_age_-750BCE_127	2650.0	2700.0
greek_amphora_iron_age_-750BCE_128	2650.0	2672.5
greek_amphora_iron_age_-750BCE_129	2651.0	2675.0
greek_amphora_iron_age_-350BCE_140	2250.0	2350.0
greek_amphora_iron_age_-350BCE_143	2250.0	2350.0
