taxon	min_age	max_age
greek_amphora_iron_age_-550BCE_1	2450.0	2500.0
greek_amphora_iron_age_-550BCE_4	2450.0	2525.0
greek_amphora_iron_age_-550BCE_5	2450.0	2525.0
greek_amphora_iron_age_-550BCE_6	2450.0	2500.0
greek_amphora_iron_age_-550BCE_7	2450.0	2500.0
greek_amphora_iron_age_-550BCE_8	2450.0	2525.0
greek_amphora_iron_age_-550BCE_9	2450.0	2525.0
greek_amphora_iron_age_-550BCE_10	2425.0	2500.0
greek_amphora_iron_age_-500BCE_13	2400.0	2450.0
greek_amphora_iron_age_-500BCE_15	2400.0	2475.0
greek_amphora_iron_age_-500BCE_17	2400.0	2475.0
greek_amphora_iron_age_-500BCE_19	2400.0	2475.0
greek_amphora_iron_age_-500BCE_20	2425.0	2475.0
greek_amphora_iron_age_-450BCE_23	2375.0	2425.0
greek_amphora_iron_age_-450BCE_24	2350.0	2425.0
greek_amphora_iron_age_-450BCE_25	2375.0	2425.0
greek_amphora_iron_age_-450BCE_26	2325.0	2450.0
greek_amphora_iron_age_-450BCE_27	2350.0	2425.0
greek_amphora_iron_age_-450BCE_28	2375.0	2425.0
greek_amphora_iron_age_-450BCE_29	2375.0	2425.0
greek_amphora_iron_age_-450BCE_30	2375.0	2425.0
greek_pelike_iron_age_-450BCE_32	2375.0	2425.0
greek_pelike_iron_age_-450BCE_33	2375.0	2425.0
greek_pelike_iron_age_-450BCE_34	2350.0	2425.0
greek_pelike_iron_age_-450BCE_35	2375.0	2425.0
greek_pelike_iron_age_-450BCE_38	2350.0	2425.0
greek_pelike_iron_age_-450BCE_39	2350.0	2400.0
greek_pelike_iron_age_-450BCE_40	2350.0	2425.0
greek_italiote_pelike_iron_age_-400BCE_41	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_43	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_45	2250.0	2390.0
greek_italiote_pelike_iron_age_-400BCE_46	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_48	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_49	2250.0	2370.0
greek_italiote_pelike_iron_age_-400BCE_50	2250.0	2370.0
greek_pelike_iron_age_-500BCE_51	2400.0	2475.0
greek_pelike_iron_age_-500BCE_53	2400.0	2475.0
greek_pelike_iron_age_-500BCE_54	2400.0	2450.0
greek_pelike_iron_age_-500BCE_55	2400.0	2450.0
greek_pelike_iron_age_-500BCE_56	2425.0	2475.0
greek_pelike_iron_age_-500BCE_58	2400.0	2450.0
greek_pelike_iron_age_-500BCE_59	2400.0	2475.0
greek_pelike_iron_age_-500BCE_60	2400.0	2450.0
greek_amphora_iron_age_-800BCE_62	2650.0	2850.0
greek_amphora_iron_age_-800BCE_63	2650.0	2850.0
greek_amphora_iron_age_-800BCE_64	2650.0	2850.0
greek_amphora_iron_age_-800BCE_67	2650.0	2850.0
greek_amphora_iron_age_-800BCE_68	2650.0	2850.0
greek_amphora_iron_age_-800BCE_69	2650.0	2850.0
greek_amphora_iron_age_-800BCE_70	2650.0	2850.0
greek_pelike_iron_age_-350BCE_72	2250.0	2350.0
greek_pelike_iron_age_-350BCE_73	2250.0	2350.0
greek_pelike_iron_age_-350BCE_74	2250.0	2350.0
greek_pelike_iron_age_-350BCE_75	2250.0	2350.0
greek_pelike_iron_age_-350BCE_76	2250.0	2350.0
greek_pelike_iron_age_-350BCE_77	2250.0	2350.0
greek_pelike_iron_age_-350BCE_78	2250.0	2350.0
greek_pelike_iron_age_-350BCE_79	2250.0	2350.0
greek_pelike_iron_age_-350BCE_80	2250.0	2350.0
greek_italiote_amphora_iron_age_-400BCE_84	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_85	2325.0	2350.0
greek_italiote_amphora_iron_age_-400BCE_86	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_87	2250.0	2370.0
greek_italiote_amphora_iron_age_-400BCE_88	2250.0	2390.0
greek_amphora_iron_age_-600BCE_91	2500.0	2550.0
greek_amphora_iron_age_-600BCE_93	2500.0	2550.0
greek_amphora_iron_age_-600BCE_94	2500.0	2550.0
greek_amphora_iron_age_-600BCE_97	2500.0	2550.0
greek_amphora_iron_age_-600BCE_98	2500.0	2550.0
greek_amphora_iron_age_-600BCE_99	2501.0	2525.0
greek_amphora_iron_age_-600BCE_100	2500.0	2575.0
greek_italiote_amphora_iron_age_-350BCE_101	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_103	2250.0	2300.0
greek_italiote_amphora_iron_age_-350BCE_104	2250.0	2325.0
greek_italiote_amphora_iron_age_-350BCE_105	2250.0	2310.0
greek_italiote_amphora_iron_age_-350BCE_106	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_107	2250.0	2350.0
greek_italiote_amphora_iron_age_-350BCE_108	2250.0	2350.0
greek_italiote_pelike_hellenistic_age_-350BCE_111	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_112	2250.0	2300.0
greek_italiote_pelike_hellenistic_age_-350BCE_115	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_116	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_117	2250.0	2275.0
greek_italiote_pelike_hellenistic_age_-350BCE_118	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_119	2220.0	2310.0
greek_italiote_pelike_hellenistic_age_-350BCE_120	2220.0	2310.0
greek_amphora_iron_age_-750BCE_125	2670.0	2680.0
greek_amphora_iron_age_-750BCE_126	2650.0	2750.0
greek_amphora_iron_age_-750BCE_127	2650.0	2700.0
greek_amphora_iron_age_-750BCE_128	2650.0	2700.0
greek_pelike_iron_age_-400BCE_131	2325.0	2375.0
greek_pelike_iron_age_-400BCE_132	2325.0	2375.0
greek_pelike_iron_age_-400BCE_133	2325.0	2375.0
greek_pelike_iron_age_-400BCE_134	2325.0	2375.0
greek_pelike_iron_age_-400BCE_135	2325.0	2375.0
greek_pelike_iron_age_-400BCE_136	2325.0	2375.0
greek_amphora_iron_age_-350BCE_140	2250.0	2350.0
greek_amphora_iron_age_-350BCE_141	2250.0	2350.0
greek_amphora_iron_age_-350BCE_142	2250.0	2350.0
greek_amphora_iron_age_-350BCE_143	2250.0	2350.0
greek_amphora_iron_age_-350BCE_144	2250.0	2350.0
greek_amphora_iron_age_-350BCE_145	2250.0	2350.0
greek_amphora_iron_age_-350BCE_146	2250.0	2350.0
greek_amphora_iron_age_-350BCE_147	2200.0	2350.0
greek_amphora_iron_age_-1000BCE_150	2850.0	2980.0
greek_amphora_iron_age_-1000BCE_151	2850.0	3000.0
greek_amphora_iron_age_-1000BCE_152	2850.0	3000.0
greek_amphora_iron_age_-1000BCE_153	2850.0	2980.0
greek_amphora_iron_age_-1000BCE_154	2850.0	3000.0
greek_amphora_iron_age_-1000BCE_155	2850.0	2980.0
greek_loutrophoros_iron_age_-450BCE_156	2350.0	2425.0
greek_loutrophoros_iron_age_-450BCE_157	2350.0	2425.0
greek_loutrophoros_iron_age_-450BCE_158	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_159	2350.0	2400.0
greek_loutrophoros_iron_age_-450BCE_160	2350.0	2425.0
greek_loutrophoros_iron_age_-450BCE_161	2375.0	2425.0
greek_loutrophoros_iron_age_-450BCE_162	2350.0	2425.0
greek_loutrophoros_iron_age_-450BCE_163	2350.0	2400.0
greek_amphora_iron_age_-650BCE_168	2550.0	2650.0
greek_amphora_iron_age_-650BCE_169	2550.0	2650.0
greek_amphora_iron_age_-650BCE_170	2550.0	2650.0
greek_pelike_iron_age_-550BCE_182	2450.0	2500.0
greek_pelike_iron_age_-550BCE_183	2450.0	2500.0
greek_pelike_iron_age_-550BCE_184	2450.0	2500.0
greek_pelike_iron_age_-550BCE_187	2450.0	2500.0
greek_pelike_iron_age_-550BCE_188	2450.0	2500.0
greek_amphora_hellenistic_age_-150BCE_193	2050.0	2150.0
greek_amphora_hellenistic_age_-150BCE_197	2036.0	2070.0
greek_amphora_hellenistic_age_-150BCE_199	2050.0	2150.0
greek_italiote_pelike_iron_age_-350BCE_203	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_205	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_206	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_207	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_208	2250.0	2350.0
greek_italiote_pelike_iron_age_-350BCE_209	2250.0	2350.0
greek_loutrophoros_iron_age_-500BCE_210	2425.0	2475.0
greek_loutrophoros_iron_age_-500BCE_211	2425.0	2475.0
greek_loutrophoros_iron_age_-500BCE_212	2400.0	2450.0
greek_loutrophoros_iron_age_-500BCE_213	2400.0	2475.0
greek_italiote_amphora_hellenistic_age_-300BCE_214	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_215	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_216	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_217	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_218	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_219	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_220	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_221	2125.0	2325.0
greek_italiote_amphora_hellenistic_age_-300BCE_222	2125.0	2325.0
greek_amphora_hellenistic_age_-200BCE_225	2050.0	2250.0
greek_amphora_hellenistic_age_-200BCE_227	2120.0	2130.0
greek_amphora_iron_age_-400BCE_230	2325.0	2375.0
greek_amphora_iron_age_-400BCE_231	2325.0	2375.0
greek_amphora_iron_age_-400BCE_232	2325.0	2375.0
greek_amphora_iron_age_-400BCE_233	2325.0	2375.0
greek_italiote_amphora_hellenistic_age_-350BCE_234	2220.0	2310.0
greek_italiote_amphora_hellenistic_age_-350BCE_235	2275.0	2325.0
greek_italiote_amphora_hellenistic_age_-350BCE_236	2220.0	2310.0
greek_italiote_amphora_hellenistic_age_-350BCE_237	2250.0	2350.0
greek_italiote_amphora_hellenistic_age_-350BCE_238	2220.0	2310.0
greek_italiote_amphora_hellenistic_age_-350BCE_239	2220.0	2310.0
greek_italiote_amphora_hellenistic_age_-350BCE_240	2220.0	2310.0
greek_italiote_amphora_hellenistic_age_-350BCE_241	2220.0	2310.0
greek_italiote_loutrophoros_iron_age_-400BCE_242	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_243	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_244	2250.0	2370.0
greek_italiote_loutrophoros_iron_age_-400BCE_245	2250.0	2370.0
greek_italiote_pelike_hellenistic_age_-250BCE_248	2175.0	2225.0
greek_italiote_pelike_hellenistic_age_-250BCE_249	2175.0	2225.0
greek_italiote_pelike_hellenistic_age_-250BCE_250	2175.0	2225.0
greek_italiote_pelike_hellenistic_age_-250BCE_251	2175.0	2225.0
greek_italiote_pelike_hellenistic_age_-300BCE_252	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_253	2200.0	2250.0
greek_italiote_pelike_hellenistic_age_-300BCE_254	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_255	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_256	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_257	2125.0	2325.0
greek_italiote_pelike_hellenistic_age_-300BCE_258	2125.0	2325.0
greek_italiote_amphora_iron_age_-450BCE_262	2351.0	2383.0
greek_italiote_amphora_iron_age_-450BCE_264	2390.0	2410.0
greek_italiote_amphora_iron_age_-450BCE_265	2350.0	2400.0
greek_amphora_iron_age_-850BCE_273	2710.0	2800.0
greek_amphora_iron_age_-700BCE_275	2575.0	2675.0
greek_amphora_iron_age_-700BCE_276	2625.0	2675.0
greek_amphora_iron_age_-1050BCE_277	2950.0	2980.0
greek_amphora_iron_age_-1050BCE_278	2950.0	2980.0
greek_amphora_hellenistic_age_-100BCE_280	2025.0	2075.0
greek_amphora_hellenistic_age_-100BCE_281	2025.0	2075.0
greek_loutrophoros_iron_age_-550BCE_282	2450.0	2525.0
greek_loutrophoros_iron_age_-550BCE_283	2450.0	2500.0
greek_loutrophoros_iron_age_-400BCE_284	2325.0	2375.0
greek_loutrophoros_iron_age_-400BCE_285	2325.0	2375.0
greek_italiote_amphora_iron_age_-250BCE_286	2150.0	2250.0
greek_loutrophoros_iron_age_-600BCE_287	2500.0	2550.0
greek_loutrophoros_iron_age_-600BCE_288	2500.0	2550.0
greek_amphora_iron_age_-950BCE_290	2836.0	2865.0
greek_italiote_loutrophoros_iron_age_-350BCE_291	2250.0	2350.0
greek_italiote_loutrophoros_iron_age_-250BCE_292	2150.0	2250.0
greek_loutrophoros_iron_age_-350BCE_296	2250.0	2350.0
greek_amphora_iron_age_-900BCE_297	2825.0	2850.0
greek_hydria_iron_age_-550BCE_1002	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1003	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1004	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1005	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1006	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1007	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1008	2450.0	2500.0
greek_hydria_iron_age_-550BCE_1009	2450.0	2525.0
greek_hydria_iron_age_-550BCE_1010	2450.0	2525.0
greek_hydria_iron_age_-500BCE_1012	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1013	2400.0	2450.0
greek_hydria_iron_age_-500BCE_1014	2425.0	2475.0
greek_hydria_iron_age_-500BCE_1015	2396.0	2450.0
greek_hydria_iron_age_-500BCE_1016	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1017	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1018	2400.0	2475.0
greek_hydria_iron_age_-500BCE_1019	2425.0	2475.0
greek_hydria_iron_age_-500BCE_1020	2400.0	2475.0
greek_hydria_iron_age_-450BCE_1021	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1022	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1023	2350.0	2400.0
greek_hydria_iron_age_-450BCE_1024	2375.0	2425.0
greek_hydria_iron_age_-450BCE_1025	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1026	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1027	2350.0	2425.0
greek_hydria_iron_age_-450BCE_1028	2375.0	2425.0
