type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_pelike_iron_age_-500BCE_57,pelike_greek,test,pelike,pelike_NA,greek,-512.5,-462.5
greek_pelike_iron_age_-400BCE_137,pelike_greek,test,pelike,pelike_NA,greek,-425.0,-375.0
greek_pelike_iron_age_-300BCE_293,pelike_greek,test,pelike,pelike_NA,greek,-325.0,-275.0
greek_pelike_iron_age_-450BCE_37,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-450BCE_32,pelike_greek,test,pelike,pelike_NA,greek,-475.0,-425.0
greek_pelike_iron_age_-350BCE_74,pelike_greek,test,pelike,pelike_NA,greek,-400.0,-300.0
greek_italiote_pelike_hellenistic_age_-350BCE_114,pelike_ital,test,pelike,pelike_NA,greek_italiote,-360.0,-270.0
greek_italiote_pelike_iron_age_-350BCE_202,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-350BCE_209,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_italiote_pelike_iron_age_-400BCE_44,pelike_ital,test,pelike,pelike_NA,greek_italiote,-420.0,-300.0
greek_italiote_pelike_hellenistic_age_-300BCE_258,pelike_ital,test,pelike,pelike_NA,greek_italiote,-375.0,-175.0
greek_italiote_pelike_iron_age_-350BCE_204,pelike_ital,test,pelike,pelike_NA,greek_italiote,-400.0,-300.0
greek_loutrophoros_iron_age_-450BCE_158,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_hellenistic_age_-150BCE_295,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-200.0,-100.0
greek_loutrophoros_iron_age_-600BCE_288,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-600.0,-550.0
greek_loutrophoros_iron_age_-500BCE_213,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-500.0,-450.0
greek_loutrophoros_iron_age_-450BCE_164,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_loutrophoros_iron_age_-500BCE_211,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-525.0,-475.0
greek_italiote_loutrophoros_iron_age_-400BCE_246,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-350BCE_291,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-400.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_247,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_244,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_245,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_243,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_amphora_iron_age_-550BCE_4,pan_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_amphora_iron_age_-350BCE_143,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-450BCE_26,pan_greek,test,amphora,amphora_panathenaic,greek,-487.5,-400.0
greek_amphora_iron_age_-350BCE_142,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_146,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-550BCE_6,pan_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_italiote_amphora_iron_age_-400BCE_81,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-440.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_86,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-420.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_88,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-440.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_90,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-420.0,-300.0
greek_italiote_amphora_hellenistic_age_-300BCE_221,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-375.0,-175.0
greek_italiote_amphora_iron_age_-450BCE_265,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-450.0,-400.0
greek_amphora_iron_age_-1000BCE_155,outgroup,outgroup,amphora,amphora_neck,greek,-1030.0,-900.0
greek_amphora_iron_age_-1050BCE_277,outgroup,outgroup,amphora,amphora_neck,greek,-1030.0,-1000.0
greek_amphora_iron_age_-1000BCE_152,outgroup,outgroup,amphora,amphora_neck,greek,-1040.0,-900.0
