type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_amphora_iron_age_-550BCE_4,pan_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_6,pan_greek,test,amphora,amphora_panathenaic,greek,-550.0,-500.0
greek_amphora_iron_age_-500BCE_15,pan_greek,test,amphora,amphora_panathenaic,greek,-500.0,-467.0
greek_amphora_iron_age_-450BCE_26,pan_greek,test,amphora,amphora_panathenaic,greek,-487.5,-400.0
greek_italiote_amphora_iron_age_-400BCE_81,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-440.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_86,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-420.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_88,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-440.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_90,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-420.0,-300.0
greek_amphora_iron_age_-350BCE_141,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_142,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_143,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_144,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_145,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_amphora_iron_age_-350BCE_146,pan_greek,test,amphora,amphora_panathenaic,greek,-400.0,-300.0
greek_loutrophoros_iron_age_-450BCE_156,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-462.5,-412.5
greek_loutrophoros_iron_age_-450BCE_157,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_158,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_159,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_160,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_loutrophoros_iron_age_-450BCE_161,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_loutrophoros_iron_age_-450BCE_162,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-462.5,-412.5
greek_loutrophoros_iron_age_-450BCE_163,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-450.0,-400.0
greek_loutrophoros_iron_age_-450BCE_164,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-475.0,-425.0
greek_amphora_hellenistic_age_-150BCE_199,pan_greek,test,amphora,amphora_panathenaic,greek,-200.0,-100.0
greek_loutrophoros_iron_age_-500BCE_210,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-525.0,-475.0
greek_loutrophoros_iron_age_-500BCE_211,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-525.0,-475.0
greek_loutrophoros_iron_age_-500BCE_212,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-500.0,-450.0
greek_loutrophoros_iron_age_-500BCE_213,loutro_greek,test,loutrophoros,loutrophoros_NA,greek,-500.0,-450.0
greek_italiote_amphora_hellenistic_age_-300BCE_221,pan_ital,test,amphora,amphora_panathenaic,greek_italiote,-375.0,-175.0
greek_amphora_iron_age_-400BCE_230,pan_greek,test,amphora,amphora_panathenaic,greek,-425.0,-375.0
greek_italiote_loutrophoros_iron_age_-400BCE_242,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_243,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_244,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
greek_italiote_loutrophoros_iron_age_-400BCE_245,loutro_ital,test,loutrophoros,loutrophoros_NA,greek_italiote,-420.0,-300.0
