type,group,role,shape_general,shape,place,date_earliest,date_latest
greek_amphora_iron_age_-550BCE_1,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_2,neck_greek,test,amphora,amphora_neck,greek,-575.0,-525.0
greek_amphora_iron_age_-550BCE_5,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_7,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-550BCE_8,neck_greek,test,amphora,amphora_neck,greek,-550.0,-500.0
greek_amphora_iron_age_-500BCE_12,belly_greek,test,amphora,amphora_belly,greek,-500.0,-450.0
greek_amphora_iron_age_-500BCE_13,neck_greek,test,amphora,amphora_neck,greek,-500.0,-450.0
greek_amphora_iron_age_-500BCE_14,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_17,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_18,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-500BCE_19,neck_greek,test,amphora,amphora_neck,greek,-525.0,-475.0
greek_amphora_iron_age_-450BCE_21,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_22,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_23,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_24,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_25,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_27,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_28,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-450BCE_30,neck_greek,test,amphora,amphora_neck,greek,-475.0,-425.0
greek_amphora_iron_age_-800BCE_61,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_62,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_63,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_64,belly_greek,test,amphora,amphora_belly,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_65,neck_greek,test,amphora,amphora_neck,greek,-850.0,-737.5
greek_amphora_iron_age_-800BCE_66,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_67,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_68,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_69,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_amphora_iron_age_-800BCE_70,neck_greek,test,amphora,amphora_neck,greek,-900.0,-700.0
greek_italiote_amphora_iron_age_-400BCE_83,belly_ital,test,amphora,amphora_belly,greek_italiote,-420.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_84,belly_ital,test,amphora,amphora_belly,greek_italiote,-420.0,-300.0
greek_italiote_amphora_iron_age_-400BCE_85,neck_ital,test,amphora,amphora_neck,greek_italiote,-400.0,-375.0
greek_italiote_amphora_iron_age_-400BCE_87,belly_ital,test,amphora,amphora_belly,greek_italiote,-420.0,-300.0
greek_amphora_iron_age_-600BCE_91,neck_greek,test,amphora,amphora_neck,greek,-600.0,-550.0
greek_amphora_iron_age_-600BCE_92,belly_greek,test,amphora,amphora_belly,greek,-612.5,-562.5
greek_amphora_iron_age_-600BCE_93,neck_greek,test,amphora,amphora_neck,greek,-600.0,-550.0
greek_amphora_iron_age_-600BCE_94,neck_greek,test,amphora,amphora_neck,greek,-600.0,-550.0
greek_amphora_iron_age_-600BCE_96,neck_greek,test,amphora,amphora_neck,greek,-625.0,-575.0
greek_italiote_amphora_iron_age_-350BCE_103,neck_ital,test,amphora,amphora_neck,greek_italiote,-345.0,-323.0
greek_italiote_amphora_iron_age_-350BCE_104,neck_ital,test,amphora,amphora_neck,greek_italiote,-360.0,-310.0
greek_italiote_amphora_iron_age_-350BCE_105,neck_ital,test,amphora,amphora_neck,greek_italiote,-360.0,-300.0
greek_italiote_amphora_iron_age_-350BCE_106,belly_ital,test,amphora,amphora_belly,greek_italiote,-400.0,-300.0
greek_italiote_amphora_iron_age_-350BCE_107,neck_ital,test,amphora,amphora_neck,greek_italiote,-400.0,-300.0
greek_italiote_amphora_iron_age_-350BCE_108,belly_ital,test,amphora,amphora_belly,greek_italiote,-400.0,-300.0
greek_italiote_amphora_iron_age_-350BCE_109,neck_ital,test,amphora,amphora_neck,greek_italiote,-350.0,-320.0
greek_italiote_amphora_iron_age_-350BCE_110,neck_ital,test,amphora,amphora_neck,greek_italiote,-360.0,-300.0
greek_amphora_iron_age_-750BCE_122,neck_greek,test,amphora,amphora_neck,greek,-750.0,-700.0
greek_amphora_iron_age_-750BCE_125,neck_greek,test,amphora,amphora_neck,greek,-730.0,-720.0
greek_amphora_iron_age_-750BCE_126,neck_greek,test,amphora,amphora_neck,greek,-750.0,-712.5
greek_amphora_iron_age_-750BCE_127,neck_greek,test,amphora,amphora_neck,greek,-750.0,-700.0
greek_amphora_iron_age_-750BCE_128,neck_greek,test,amphora,amphora_neck,greek,-722.5,-700.0
greek_amphora_iron_age_-750BCE_129,belly_greek,test,amphora,amphora_belly,greek,-725.0,-701.0
